     PKT_No. 	    TimeStamp 	    ax(m/s^2) 	    ay(m/s^2) 	    az(m/s^2) 	    gx(rad/s) 	    gy(rad/s) 	    gz(rad/s) 
        10229 	        1.776 	        -0.01 	         0.33 	         9.90 	         0.00 	        -0.00 	         0.00 
        10230 	        1.792 	         0.01 	         0.37 	         9.86 	        -0.00 	         0.00 	         0.00 
        10231 	        1.808 	         0.03 	         0.36 	         9.86 	         0.00 	        -0.00 	         0.00 
        10232 	        1.824 	        -0.03 	         0.39 	         9.81 	         0.00 	         0.00 	         0.00 
        10233 	        1.840 	         0.02 	         0.36 	         9.87 	         0.00 	        -0.00 	         0.00 
        10234 	        1.856 	         0.04 	         0.37 	         9.88 	         0.00 	         0.00 	         0.00 
        10235 	        1.872 	         0.01 	         0.36 	         9.86 	         0.00 	         0.00 	         0.00 
        10236 	        1.888 	         0.01 	         0.40 	         9.87 	        -0.00 	         0.00 	         0.01 
        10237 	        1.904 	         0.01 	         0.34 	         9.88 	         0.00 	         0.00 	         0.00 
        10238 	        1.920 	         0.00 	         0.38 	         9.87 	         0.00 	        -0.00 	         0.00 
        10239 	        1.936 	        -0.00 	         0.35 	         9.89 	        -0.00 	        -0.00 	         0.00 
        10240 	        1.952 	         0.01 	         0.38 	         9.84 	         0.01 	        -0.00 	        -0.00 
        10241 	        1.968 	         0.01 	         0.36 	         9.85 	         0.01 	        -0.00 	         0.00 
        10242 	        1.984 	         0.02 	         0.39 	         9.85 	         0.01 	        -0.00 	         0.00 
        10243 	        2.000 	         0.01 	         0.39 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10244 	        2.016 	         0.02 	         0.35 	         9.88 	         0.00 	         0.00 	         0.00 
        10245 	        2.032 	         0.02 	         0.38 	         9.85 	         0.00 	         0.00 	         0.00 
        10246 	        2.048 	        -0.00 	         0.39 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10247 	        2.064 	        -0.02 	         0.38 	         9.87 	         0.00 	         0.00 	        -0.00 
        10248 	        2.080 	        -0.00 	         0.36 	         9.89 	        -0.00 	         0.00 	         0.00 
        10249 	        2.096 	         0.00 	         0.39 	         9.84 	         0.00 	         0.00 	         0.00 
        10250 	        2.112 	         0.03 	         0.34 	         9.87 	        -0.00 	        -0.00 	         0.00 
        10251 	        2.128 	         0.04 	         0.37 	         9.88 	         0.00 	        -0.00 	         0.00 
        10252 	        2.144 	         0.01 	         0.37 	         9.86 	        -0.00 	         0.00 	         0.00 
        10253 	        2.160 	         0.01 	         0.37 	         9.87 	         0.00 	        -0.00 	         0.00 
        10254 	        2.176 	         0.03 	         0.39 	         9.82 	        -0.00 	         0.00 	         0.00 
        10255 	        2.192 	         0.01 	         0.36 	         9.86 	        -0.00 	         0.00 	         0.00 
        10256 	        2.208 	         0.03 	         0.37 	         9.85 	        -0.00 	        -0.00 	         0.00 
        10257 	        2.224 	         0.02 	         0.36 	         9.86 	        -0.00 	         0.00 	         0.00 
        10258 	        2.240 	         0.03 	         0.39 	         9.85 	         0.00 	        -0.00 	         0.00 
        10259 	        2.256 	        -0.00 	         0.35 	         9.91 	        -0.00 	        -0.00 	         0.00 
        10260 	        2.272 	        -0.02 	         0.32 	         9.89 	         0.00 	         0.00 	         0.00 
        10261 	        2.288 	         0.01 	         0.35 	         9.90 	         0.01 	        -0.00 	         0.00 
        10262 	        2.304 	        -0.02 	         0.35 	         9.87 	         0.01 	         0.00 	        -0.00 
        10263 	        2.320 	         0.02 	         0.35 	         9.83 	         0.00 	        -0.00 	         0.00 
        10264 	        2.336 	         0.02 	         0.35 	         9.88 	         0.00 	        -0.00 	         0.00 
        10265 	        2.352 	         0.02 	         0.40 	         9.84 	         0.00 	        -0.00 	         0.00 
        10266 	        2.368 	         0.02 	         0.38 	         9.88 	        -0.00 	        -0.00 	        -0.00 
